id,parent,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,last_seen,model,adc,rssi,hidden,flagged,downgraded,age,brightness,hardware,version,last_update_check,created,uptime,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg
5513.0,5512.0,38.78409,-77.494766,Digital Bear Consulting B,,3.92,,,,,,,,,,,,,,,,,2022-02-12 21:40:39,,,,False,True,False,0.0,,,,,,,False,5.25,4.86,4.8,10.3,11.02,12.99
117712.0,117711.0,37.37476,-122.088242,Dillon B,,,,,,,,,,,,,,,,,,,2022-02-12 21:41:16,,,,False,False,False,0.0,,,,,,,False,,,,,,
105783.0,105782.0,38.255271,-122.969673,Dillon Beach Bluff B,,7.84,,,,,,,,,,,,,,,,,2022-02-12 21:39:58,,,,False,False,False,1.0,,,,,,,False,10.73,18.33,20.98,17.9,16.02,14.8
69426.0,69425.0,38.250028,-122.963622,Dillon Beach Internet Service B,,7.53,,,,,,,,,,,,,,,,,2022-02-12 21:41:20,,,,False,False,False,0.0,,,,,,,False,8.77,15.82,18.62,13.36,9.65,10.89
95562.0,95561.0,38.63086,21.408942,Dimotiki Vivliothiki B,,99.47,,,,,,,,,,,,,,,,,2022-02-12 21:40:52,,,,False,False,False,0.0,,,,,,,False,114.33,124.43,119.74,73.99,55.41,50.19
99698.0,99697.0,38.655339,21.371722,Dimotiko Katastima Neapolis B,,30.84,,,,,,,,,,,,,,,,,2022-02-12 21:39:40,,,,False,False,False,1.0,,,,,,,False,44.21,53.84,51.87,34.54,24.42,18.53
30762.0,30761.0,40.549895,23.165885,Dimotiko Peristeras B,,29.12,,,,,,,,,,,,,,,,,2022-02-12 21:39:54,,,,False,False,False,1.0,,,,,,,False,29.41,31.24,33.02,33.52,27.36,20.82
22186.0,22185.0,37.86427,-122.172993,Dining Room  B,,,,,,,,,,,,,,,,,,,2022-02-12 21:39:44,,,,False,False,False,1.0,,,,,,,False,,,,,,
116686.0,116685.0,37.767118,-122.252741,Dining room air B,,,,,,,,,,,,,,,,,,,2022-02-12 21:41:09,,,,False,False,False,0.0,,,,,,,False,,,,,,
87658.0,87657.0,26.480679,-82.174524,"Dinkins Bayou, Sanibel Island, Florida, US of A B",,1.8,,,,,,,,,,,,,,,,,2022-02-12 21:39:54,,,,False,False,False,1.0,,,,,,,False,1.93,2.73,3.79,8.63,9.92,7.43
127544.0,127543.0,40.73277,-111.83906,Dinosaur Den B,,,,,,,,,,,,,,,,,,,2022-02-09 22:29:37,,,,False,False,False,4271.0,,,,,,,False,,,,,,
46386.0,46385.0,6.123804,1.213086,Direction de l'Environnement/MEDDPN [Columbia Uni LDEO] B,,33.48,,,,,,,,,,,,,,,,,2022-02-12 21:41:15,,,,False,False,False,0.0,,,,,,,False,34.42,35.05,35.06,35.64,38.89,61.42
72486.0,72485.0,37.321628,-122.18911,Dirt Alpine B,,11.02,,,,,,,,,,,,,,,,,2022-02-12 21:40:04,,,,False,False,False,1.0,,,,,,,False,10.75,10.37,9.16,5.69,4.87,5.92
109511.0,109510.0,48.568038,-120.371224,Dirt Road B,,0.69,,,,,,,,,,,,,,,,,2022-02-12 21:41:07,,,,False,False,False,0.0,,,,,,,False,0.46,0.68,1.98,6.76,6.67,8.0
